,title,paragraphs
126,Should I feel guilty about taking prescription drugs since all of them have been tested on animals?,"PETA advises making kind choices, whenever they’re available to us. However, the Food and Drug Administration (FDA) mandates that prescription drugs be tested on animals. So unfortunately, whether you take these medications or not, this cruel testing will continue. PETA is urging the FDA to remove this archaic requirement—which was instituted more than 50 years ago—and instead adopt animal-free, human-relevant research methods that better predict drug efficacy and toxicity than crude animal tests. PETA is also urging the National Institutes of Health (NIH) to do the same and stop wasting our tax dollars on useless experiments on animals. You can help by asking your congressional representatives to mandate that NIH fund research that uses only animal-free, modern techniques to develop new drugs and other therapies.
"
127,Is there anything wrong with experiments that don’t harm animals?,"
If there really is no harm—when animals are observed in their own environments, for example—we don’t object. But keeping animals isolated in barren steel cages, removed from all that is natural to them, is harmful to animals’ mental and physical health.
"
128,Should we throw out all the drugs that were developed and tested on animals?,"
Unfortunately, many things in our society came about through others’ exploitation. For instance, many of the roads we drive on were built by slaves. We can’t change the past; those who have already suffered and died are lost. What we can do is change the future by using non-animal research methods from now on.
"
129,Aren’t humans natural carnivores?,"
While humans have eaten meat throughout history, there is significant evidence that we are better suited to a vegetarian diet. Carnivorous animals have long, curved fangs, claws, and a short digestive tract. Humans have flat, flexible nails, and our so-called “canine” teeth are minuscule compared to carnivores’. Human teeth are better suited to biting into vegetables, fruits, and grains than tearing through tough hides.
In addition, the health problems associated with meat consumption—a leading contributor to heart disease, cancer, stroke, diabetes, and obesity—should be an indication that we aren’t “meant” to eat meat. In addition, humans are capable of making ethical decisions. We can get all the nutrients we need from plant sources, which means that billions of animals are unnecessarily slaughtered every year at the expense of our health and the environment.
"
130,"Animals kill other animals for food, so why shouldn’t we?","
Most of the animals who kill for food could not survive if they didn’t. That is not the case for us. We are better off not eating meat. Many other animals are vegetarians, including some of our closest primate relatives. Why don’t we look to them as our example instead of to carnivores?
"
131,What about kosher symbols?,"This issue is complex, but kosher symbols and markings are not indicators on which vegans or vegetarians should base their purchasing decisions.
"
132,"I believe in protecting animals, but do you have to focus so much on vegetarianism?","
As an animal protection group, PETA cannot in good conscience condone the murder of animals for their flesh, even if our nation’s current meat addiction was not at the root of a staggering number of health problems. (Similarly, the American Cancer Society, for example, could not in good conscience condone the “choice” of cigarette smoking.) The truth is, there is simply no way that animals can be humanely raised and killed for food. The sheer number of animals required to feed America’s current meat habit makes individual attention to their wants and needs impossible.
Ultimately, there is the simple moral principle that we do not have the right to manipulate and kill animals for our own purposes. Animals do not belong to us, and their lives are just as precious to them as yours or mine is to you or me.
"
133,Vegetarianism is a personal choice. Why are you trying to force it on everyone else?,"
From a moral standpoint, actions that harm others are not matters of personal choice. Murder, child abuse, and cruelty to animals are all immoral. Our society now encourages meat-eating and the cruelty of factory farming, but history teaches that society also once encouraged slavery, child labor, and many other practices now universally recognized as wrong.
"
134,The only meat I still eat is fish. Can fish feel pain?,"Research has shown that indeed they can. According to Dr. Donald Broom, animal welfare advisor to the British government, “Anatomically, physiologically, and biologically, the pain system in fish is virtually the same as in birds and mammals.” Fish have fully developed brains and nervous systems and very sensitive mouths. Fish use their tongues and mouths as humans might use their hands—to catch or gather food, build nests, and even hide their offspring from danger. Fish also experience fear. An Australian study found that when fish are chased, confined, or otherwise threatened, they react as humans do to stress: with increased heart and breathing rates and a burst of adrenalin.
 
"
135,"It’s OK to eat eggs because chickens lay them naturally. The eggs we buy in the supermarket are sterile and not unborn fetuses, right?","
The cruelty of egg production lies in the treatment of the “laying” hens themselves, who are perhaps the most abused of all factory-farmed animals. Up to five hens are packed into each cage the size of a filing cabinet drawer. The cages are stacked many tiers high; feces from the cages above fall onto the chickens below. Hens become lame and develop osteoporosis from forced immobility and calcium lost to produce egg shells. Some birds’ feet grow around the wire cage floors; they starve to death because they are unable to reach the food trough. At just 2 years of age, most hens are “spent” and sent to the slaughterhouse. Egg-laying hatcheries have no use for male chicks so they suffocate, decapitate, crush, or grind them up alive.
Each egg from today’s egg factory farms represents 22 hours of hell for a hen.
"
136,"The animals have to die sometime, don’t they?","
Humans do, too, but that doesn’t give us the right to kill them or cause them a lifetime of suffering.
"
137,Are all faux meats and dairy products vegan?,"
No. Be sure to read the ingredient list on the package before making a purchase. Common nonvegan ingredients to look out for are casein, whey, sodium caseinate, honey, egg whites, and cheese.
"
138,"What will we do with all those chickens, cows, and pigs if everyone becomes a vegetarian?","
It’s unrealistic to expect that everyone will stop eating animals overnight. As the demand for meat decreases, the number of animals bred will decrease. Farmers will stop breeding so many animals and will turn to other types of agriculture. When there are fewer of these animals, they will be able to live more natural lives.
"
139,What is a vegan?,"
A vegan (strict vegetarian) does not consume meat, dairy products, eggs, honey, or any product derived from an animal. A vegan diet can (and should) be full of a wide variety of delicious, nutritious foods, including vegetables, grains, nuts, legumes, seeds, and fruits. Vegans don’t wear leather, fur, silk, or wool. Many refuse to use products that are made with animal ingredients, products that are filtered using animal parts (such as some wines, beers, and white sugars), and products that have been tested on animals.
"
140,Isn’t eating meat natural? It’s been going on for thousands of years. Aren’t our bodies designed for it,"
Actually, human bodies are better suited to a vegetarian diet. Carnivorous animals have long, curved fangs, claws, and a short digestive tract. Humans have flat, flexible nails, and our so-called “canine” teeth are minuscule compared to those of carnivores or even compared to vegetarian primates like gorillas and orangutans. Our tiny canine teeth are better suited to biting into fruits than tearing through tough hides. We have flat molars and a long digestive tract suited to a diet of vegetables, fruits, and grain. Eating meat is hazardous to our health; it contributes to heart disease, cancer, and many other health problems.
"
141,How can a vegan get enough vitamin B12?,"Vitamin B12 once occurred naturally on the surfaces of potatoes, beets, and other root vegetables, but the move away from natural fertilizers has caused it to disappear from our soil. Nutritionists recommend that vegans take a commercially available multivitamin or vitamin B12 supplement or eat foods that are fortified with this essential vitamin, such as many breakfast cereals, fortified orange juice and soy milk, and nutritional yeast. The Vegetarian Site offers a variety of B12 supplements in either lozenge or tablet form that make it easy and affordable to get the proper nutrients!
"
142,"If you were starving on a boat at sea and there were an animal on the boat, would you eat the animal?","
I don’t know. Humans will go to extremes to save their own lives, even if it means hurting someone innocent. (People have even killed and eaten other people in such situations.) This example, however, isn’t relevant to our daily choices. For most of us, there is no emergency and no excuse to kill animals for food.
"
143,Was Jesus really a vegetarian?,"Many biblical scholars believe that Jesus was a vegetarian. Jesus’ message is one of love and compassion, and there is nothing loving or compassionate about factory farms and slaughterhouses, where billions of animals live miserable lives and die violent, bloody deaths. Jesus mandates kindness, mercy, compassion, and love for all God’s creation. He would be appalled by the suffering that we inflict on animals just to indulge our acquired taste for their flesh.
We all have a choice. When we sit down to eat, we can add to the level of violence, misery, and death in the world, or we can respect God’s creation with a vegetarian diet.
For more information, please visit JesusPeopleForAnimals.com.
.
"
144,"I’m a college student, and there are very few vegan options in my dining hall. Can you offer any advice?","
When students at the University of California at Berkeley first met with the university’s dining hall service to discuss “veganizing” their cafeteria, they received a lukewarm response. So the students set up a table with petitions right outside the dining hall. Within two weeks, they had collected 1,200 signatures—more than one-fifth of Berkeley’s dorm population! The students’ quest also attracted the attention of local reporters. “The media attention really helped us press our case,” says Leor Jacobi, one of the students who spearheaded the project.
Just four weeks and many meetings later, the university’s administration agreed to provide a fully vegan entrée at every meal. The dining service kicked off day one with an all-vegan lunch, where students sampled vegetarian chili, stir-fry, tofu kabobs, hummus, rigatoni and beans, stew, and raspberry sorbet. “There was an overwhelmingly positive student response, even from those who hadn’t tried this way of eating before,” says Jacobi.
Please click here to learn how to veganize your cafeteria.
"
145,Is it OK to patronize restaurants and grocery stores that sell animal products?,"
If we refuse to buy vegetarian food from a supermarket or restaurant that sells or serves meat, the message sent to these businesses is simply one less sale of a vegetarian entrée or item. This translates in their minds as less demand for vegetarian foods, which could result in such offerings being removed from the shelves or menus. That would be very bad, indeed!

It’s also a good rule of thumb to fill out a comment card or thank to the manager whenever you’re impressed with a business’s vegetarian selection.
"
146,What are shahtoosh and pashmina?,"
"
147,Isn’t leather better for the environment than synthetics?,
148,What was the rationale behind your “Got Beer?” Campaign?,"
By comparing milk and beer, our aim was not to promote beer-drinking. We made a point of stressing that PETA recommends juices, soy milk, and mineral water—even soda—over milk OR beer. We invoked beer simply to make the point that milk is so awful that even a glass of beer—certainly no health food—is a better choice than a glass of milk! Had we used soda instead of beer, there would have been no media interest in the campaign, of course. As it stands, the widespread media interest allowed us to draw attention to the downside of dairy, something that many people had previously heard little about. In the media interviews generated by this campaign, after the criticism we were able to address these facts, and we stressed that PETA urges everyone, beer-drinkers included, to drink responsibly. Where milk is concerned, there’s no such thing!
"
149,Where can I find leather alternatives?,"Nonleather products are readily available. Many department stores and shoe stores offer nonleather shoes, bags, and other products. In fact, many products that look like leather are actually synthetic (pleather). Just check the label for those magic words: “all man-made materials” or “synthetic.”
Click here to view our “Guide to Compassionate Clothing” online.
"
150,What are some alternatives to wool?,"
As the many people who are allergic to wool already know, alternatives to wool clothing and blankets are readily available. Cotton flannel, polyester fleece, and other synthetic fibers wash easily, keep their bright colors, cost less, and don’t contribute to cruelty. We include a number of companies that sell wool alternatives in our “Guide to Compassionate Clothing.” Click here to view the guide online.
To learn more about the cruelty of the wool industry, visit SaveTheSheep.com.
"
151,Are products made with feathers inhumane?,"
"
152,I’ve heard that the Indian leather industry is really cruel. Is it really so bad?,"Since slaughtering cows and buffalos is illegal under most circumstances in all but a few states in India, the cows are marched over hot, dusty roads for 50 to 100 miles, across state lines to locations where they can be loaded onto trucks and taken to slaughter.
 
Typically, up to 24 animals are crammed into trucks meant for only six to seven, so cattle must climb over one another to find any space, inadvertently gouging each other with their horns, trampling and crushing those beneath them. Horns are broken off and nose rings ripped out. Extreme crowding is particularly cruel when temperatures soar, leading to heat exhaustion and suffocation.
 
Many animals are so sick and injured by the time they arrive at the slaughterhouse, they must be dragged inside. Others have hot chili peppers and tobacco rubbed into their eyes and their tail bones painfully twisted and broken just to make them stand up. Some animals have their legs cut off or are skinned while still alive.
 
Because of this cruelty, more and more people in India, in the U.S., and around the world are refusing to buy leather. In this technologically advanced time, it’s easy to find inexpensive, quality shoes and accessories that are stylish and free of animal suffering.
 
To learn more, visit CowsAreCool.com.
"
153,How is down obtained?,"Typically, ducks and geese are lifted by their necks, their legs tied, and their feathers are ripped out. The struggling birds often sustain injuries during plucking. They are then returned to their cage until they are ready to be plucked again. This process begins when the animals are 8 weeks old and is repeated at eight-week intervals until the birds are slaughtered.
Feathers are often plucked out of ducks and geese raised for food. Those raised for foie gras, especially, suffer terribly. They are force-fed—a funnel is inserted into each bird’s throat, and up to 6 pounds of a salty, fatty corn mash is pumped into the stomach each day—until the bird’s liver has ballooned to four times the normal size.
Synthetic alternatives to down are not only cruelty-free, they are also cheaper and, unlike down, retain their insulating capabilities in all weather conditions. For more information, see PETA’s factsheet on down.
"
154,My school is planning a donkey basketball game to raise money. Are these games cruel to the donkeys?,"Animals do not comprehend or willingly participate in sporting events. Yet donkeys are often prodded around school gymnasiums, kicked, whipped, and screamed at by young, impressionable students who are more concerned with winning the game and showing off for their friends then with the animals’ well-being.
The donkeys are dragged from school to school and are usually not given food and water beforehand so that they don’t have “accidents” during the games. The deprivation, constant travel, unfamiliar surroundings, loud noise, and rough handling are extremely stressful for the donkeys. They often develop unpredictable temperaments and have been known to lash out in frustration or fear, causing injury to participants or bystanders. 
The games may desensitize young people to animal suffering and teach them that we have the right to abuse animals for our own entertainment. Animals should not have to pay the price at school fundraisers. There are countless humane and fun ways to raise school funds. After all, what kid doesn’t love dunking the science teacher or pieing the principal?
 
"
155,"What are “bloodless” or Portuguese bullfights, and are they legal in the U.S.?","
So-called “bloodless” bullfights, legal in many U.S. states, involve teasing and attacking the bull. Although tormenting and abusing the animal is part of the show, killing must be done outside the arena. But just like regular bullfights, bloodless bullfights send the message that animals are nothing more than objects for us to abuse at will.
"
156,Where do captive animals come from?,"Animals held captive in zoos, circuses, aquariums, laboratories, and canned hunting ranches are often stolen from the wild or are bred in captivity. After animals in circuses, for example, have outlived their usefulness as performers, they are either permanently relegated to winter quarters (often cages) or are sold to other circuses, zoos, private menageries, game farms (where they are shot for “recreation” or for “exotic” meat), or even research laboratories.
We at PETA prefer to learn about animals on their terms, in their own natural environments—not at their expense. To learn more about what goes on behind the scenes at circuses, aquariums, zoos, and other facilities, see PETA’s factsheets on the use of animals in the “entertainment” industry.
"
157,Is there any reason I shouldn’t buy a pearl necklace?,"
A pearl is an ulcer that is formed when an irritant, such as a parasite, enters an oyster, who responds by coating it with nacre (a crystalline substance that gives pearls their luster). Stress is what prompts an oyster to secrete nacre (just like stress creates human ulcers).
Because pearls naturally form in only one in 10,000 oysters and because the creation of a pearl can take up to three years, pearl-makers have devised a process called “culturing,” or cultivating, that allows them to exploit oysters faster and cheaper.
Culturing involves surgically opening each oyster shell and inserting an irritant in the oyster. Freshwater pearls are cultured by inserting another oyster’s mantle tissue. Saltwater pearls have beads and another oyster’s mollusk tissue inserted. Fewer than half of the oysters may survive this process.
Cultivators further stress the oysters by suspending them in water in a cage, washing their shells, moving them around in different waters, and raising and lowering their cages to subject them to changing water temperatures. 
After the pearls are extracted from the oysters, one-third of oysters are “recycled” and put through the culturing process again. The others are killed and discarded.
For those concerned about the environment, there is another reason to avoid pearls. Aquaculture has contributed to destruction of natural pearl oyster beds from pollution and overharvesting.
Of course, with so many modern pearl imitations, as well as other kinds of jewelry, it’s easy to do without pearls.
"
158,God put animals here for us to use; the Bible gives us dominion over animals.,"
Dominion is not the same as tyranny. The queen of England has “dominion” over her subjects, but that doesn’t mean she can eat them, wear them, or experiment on them. If we have dominion over animals, surely it is to protect them, not to abuse them for our own ends. There is nothing in the Bible that would justify our modern-day policies that desecrate the environment, destroy entire species of wildlife, and inflict torment and death on billions of animals every year. The Bible imparts a reverence for life; a loving God could not help but be appalled at the way His creatures are being treated. For more information, please visit JesusVeg.com.
"
159,Where do you draw the line?,"
The renowned humanitarian Albert Schweitzer, who accomplished so much for humans and animals in his lifetime, would take time to stoop and move a worm from hot pavement to cool earth. Aware of the problems and responsibilities an expanded ethic brings with it, he said we each must “live daily from judgment to judgment, deciding each case as it arises, as wisely and mercifully as we can.” We can’t stop all suffering, but that doesn’t mean we shouldn’t stop any. In today’s world of virtually unlimited choices, there are usually “kinder, gentler” ways for most of us to feed, clothe, entertain, and educate ourselves than by killing animals.
"
160,"What about all the customs, traditions, and jobs that depend on using animals?","
The invention of the automobile, the abolition of slavery, and the end of World War II also necessitated job retraining and restructuring. This is simply an ingredient in all social progress—not a reason to deter progress.
"
161,Wasn’t Hitler in favor of animal rights?,"
Contrary to myth, Hitler wasn’t a vegetarian. Although the Nazis purported to pass an anti-vivisection bill, they did not. In fact, they were required by law to first perform their experiments on animals before carrying them out on humans. Experiments on humans did not replace animal experiments; on the contrary, animal experiments made them possible. John Vyvyan, in The Dark Face of Science, summed it up this way: “The experiments made on prisoners were many and diverse, but they had one thing in common: All were in continuation of or complementary to experiments on animals. In every instance, this antecedent scientific literature is mentioned in the evidence; and at Buchenwald and Auschwitz concentration camps, human and animal experiments were carried out simultaneously as parts of a single programme.” 
However, even if this weren’t the case, the merits of an idea cannot be determined by the character of its proponents. If Hitler believed in the theory of relativity, does that mean we should not believe in it? What if Gandhi also believed in the theory of relativity—how would we reconcile the two? An idea must be judged on its own merits.
"
162,What about people who have to hunt to survive?,"
We have no quarrel with aboriginal subsistence hunters and fishers who truly have no choice in order to survive. However, in this day and age, meat, fur, and leather are not a necessary part of survival for the vast majority of us.
"
163,Isn’t hunting okay as long as I eat what I kill?,"Did the fact that Jeffrey Dahmer ate his victims justify his crimes? What is done with the corpse after a murder doesn’t lessen the victim’s suffering. Furthermore, hunters are harming animals other than the ones they kill and take home. Those who don’t die outright often suffer disabling injuries. Additionally, the stress that hunting inflicts on animals—the noise, the fear, and the constant chase—severely restricts their ability to eat adequately and to store the fat and energy they need to survive the winter. Hunting also disrupts migration and hibernation. For animals like wolves, who mate for life and have close-knit families, hunting can severely harm entire communities.
"
164,"It’s fine for you to believe in animal rights, but you shouldn’t tell other people what to do.","
Hey, now you are telling me what to do! Everyone is entitled to their own opinions, but freedom of thought does not always imply freedom of action. You are free to believe whatever you want as long as you don’t hurt others. You may believe that animals should be killed, that black people should be enslaved, or that women should be beaten, but you don’t always have the right to put your beliefs into practice. As for telling people what to do, society exists because there are rules governing people’s behavior.
The very nature of reform movements is to “tell others what to do”—don’t use humans as slaves, don’t sexually harass women, etc.—and all movements initially encounter opposition from people who want to go on doing the criticized behavior.
"
165,Do vegans support any political party or endorse any political candidates?,"
PETA is nonpartisan. As a 501(c)(3) nonprofit, educational organization, IRS regulations prohibit us from endorsing a particular candidate or party. We do, however, work with legislators of all party affiliations and recognize the accomplishments of politicians who have helped pass laws protecting animals, regardless of their party.
"
166,What’s veganism's position on the Animal Liberation Front (ALF)?,"
Throughout history, some people have felt the need to break the law in order to fight injustice. The Underground Railroad and the French Resistance are both examples of people breaking the law in order to combat injustice. PETA is a legal activist organization, but we realize that other groups have different methods and we try not to condemn any efforts in behalf of animals in which no one is harmed. “The ALF,” which is simply the name adopted by people acting illegally in behalf of animal rights, breaks inanimate objects such as stereotaxic devices and decapitators in order to save lives. It burns empty buildings in which animals are tortured and killed. ALF “raids” have provided proof of horrific cruelty that would not have been discovered or believed otherwise.
They have resulted in officials’ filing of criminal charges against laboratories, the citing of experimenters for violations of the Animal Welfare Act, and, in some cases, the shutting down of abusive labs for good. Often ALF raids have been followed by widespread scientific condemnation of the practices occurring in the targeted labs. Anyone can be an activist. It does not take any special skills or superhuman abilities. You just need to care enough about animals to want to help them.
"
167,What is veganism's stance on abortion?,"
PETA does not have a position on the abortion issue, because our focus as an organization is the alleviation of the suffering inflicted on nonhuman animals. There are people on both sides of the abortion issue in the animal rights movement, just as there are people on both sides of animal rights issues in the pro-life movement. And just as the pro-life movement has no official position on animal rights, neither does the animal rights movement have an official position on abortion.
"
168,Do vegans advocate the use of violence?,"PETA maintains a creed of nonviolence and does not advocate actions in which anyone, human or nonhuman, is injured. We are a legal activist organization that works to educate the public about the horrors of cruelty to animals through peaceful, nonviolent means. No one has ever been killed through animal rights activity in the United States. To the contrary, when you take a body count, you’ll find that it’s the animal protectionists who have been harmed: Dian Fossey, Chico Mendez, George Adamson, and park rangers all over the world have been shot or beaten to death because of their work for animals.
"
169,What is veganism's stance on gun control?,"
The only position PETA has on guns is that they should not be used to hunt animals. PETA has objected to some of the National Rifle Association’s positions in the past, because it frequently takes pro-hunting stands and lobbies against bills that would restrict or ban hunting. However, our disagreement with the organization is limited to hunting issues and doesn’t extend to gun control or gun ownership issues.
"
170,I can’t bear to look at some of the graphic photos you use. Can’t you tone it down a little?,"
There are several reasons we publicize photos taken from inside laboratories, factory farms, and other facilities. First, many people simply do not want to believe the extent of animal abuse occurring in our society. The old adage about a picture being worth a thousand words is particularly true in the case of cruelty to animals. Second, with visual evidence of such abuses, we can easily counter the claims of exaggeration made by the industries responsible for these abuses. Additionally, the photos and written materials included in our mailings are intended to make people angry enough to want to act. Anger plays an important role in motivating people to sit down and write letters to their lawmakers, newspapers, or local authorities demanding an end to animal abuse. Please, try not to blame the “messenger.” Hiding the cruelty from people who truly care enough to make a difference doesn’t make these terrible things go away. We urge you to direct your anger at those who are truly deserving of it—the perpetrators of these hideous crimes.
Remember, as disturbing as it is to see this abuse, we only have to look at the pictures—the animals have to live it. They will have truly died in vain if they die without anyone documenting their suffering and shouting the injustice of it to the world. The animals are counting on us to do all we can to publicize their plight and motivate others to help them. If the photos really are too much for you, please consider passing our literature on to others who need such proof. Give PETA literature to your local library, put it on a table in the lunchroom at work, or leave it in the free literature stacks at a local bookstore, health food store, or college campus center.
"
171,Is it OK to eat roadkill?,"If people must eat animal carcasses, roadkill is a superior option to the neatly shrink-wrapped plastic packages of meat in the supermarket.
Eating roadkill is healthier for the consumer than meat laden with antibiotics, hormones, and growth stimulants, as most meat is today. It is also more humane in that animals killed on the road were not castrated, dehorned, or debeaked without anesthesia, did not suffer the trauma and misery of transportation in a crowded truck in all weather extremes, and did not hear the screams and smell the fear of the animals ahead of them on the slaughter line. Perhaps the animals never knew what hit them.
Of course, people who want to kick the meat habit can get a free vegetarian starter kit
"
172,Where can I find alternatives to goose down?,"Synthetic down products are readily available in most department stores. We also include a number of companies that sell down alternatives in our “Guide to Compassionate Clothing.” Click here to view the guide online.
For more information about down production, click here to read PETA’s “Down and Silk: Birds and Insects Exploited for Fabric” factsheet.
"
173,Where do zoos get their animals?,"Zoos breed their animals or acquire them from other zoos. Babies are great crowd-pleasers, but when the babies grow up, they don’t attract the same number of people, so zoos often sell them off in order to make room for younger animals. The unwanted adult animals are sometimes sold to “game” farms where hunters pay to kill them; some are killed for their meat and/or hides. Other “surplus” animals may be sold to smaller, more poorly run zoos or, worse, to laboratories for experiments.
For more information, see PETA’s factsheet about zoos.
"
174,"If animals aren’t meant to be eaten, why are they made of meat?","Perhaps a more appropriate question would be: If humans have hearts and brains, why don’t we use them? Because if we did, we would see that animals aren’t so very different from us. They clearly show affection, fear, joy, the desire to live, and more. They aren’t emotion-less machines whose lives are inconvenient stages on the way to our dinner table. They are living, breathing, feeling beings who want to lead their own lives just as people do. Once we recognize this, then it’s easy to turn to a diet free of decaying bits of corpses.
It’s also just plain old good sense to reject a cholesterol-laden diet linked to heart disease, stroke, and many cancers and switch to healthier, delicious veggies, grains, fruits, and legumes. Please request a free copy of PETA’s vegetarian starter kit.
"
175,"I used to like to visit animals at the zoo, but they seem so sad. How do vegans feel about zoos?","Zoo officials often consider profits ahead of the animals’ well-being. A former director of the Atlanta Zoo once remarked that he was “too far removed from the animals; they’re the last thing I worry about with all the other problems.” Zoos teach people that it is acceptable to keep animals in captivity, bored, cramped, lonely, far from their natural homes, and at the mercy and whim of people.
Zoos claim to educate people, but most zoo enclosures are quite small, and labels provide little more information than the species’ name, diet, and natural range. The animals’ normal behavior is seldom discussed, much less observed, because their natural needs are seldom met in the zoo environment. The many animals who naturally live in large herds or family groups are often kept alone or, at most, in pairs. Natural hunting and mating behaviors are virtually eliminated by regulated feeding and breeding regimens. The animals are closely confined, lack privacy, and have little opportunity for mental stimulation or physical exercise, resulting in abnormal and self-destructive behavior, called zoochosis. Not only is this not educational, we believe a true desire to learn about animals should be motivated by and in keeping with a genuine interest in the animals’ well-being.
To learn more, see PETA’s factsheet about zoos.
"
176,Why should we worry about animals when there are so many problems involving humans?,"There are very serious problems in the world that deserve our attention; but these issues do not diminish the urgency of our cause or any other. Fortunately, PETA’s pro-animal activities have great power to better the human condition as well.
As vegetarians, we advocate eating lower on the food chain, which not only would save 9 billion animals from slaughter each year, but also would save humans from a diet known to cause heart disease, cancer, and obesity. Instead of feeding grain to livestock, a plant-based diet makes 16 times more grain available to hungry people. Eliminating intensive factory farming of animals would save precious water and topsoil; in addition, without the ozone-damaging nitrates resulting from billions of pounds of manure, our air would be cleaner and we would take a giant step toward fighting global warming. In this way, animals, humans, and the environment are interconnected—we all stand to gain by not harming animals.
Learn more here.
"
177,Do the funds raised by the U.S. Postal Service’s breast cancer stamp benefit organizations that test on animals?,"The breast cancer stamp profits will be split between the National Institutes of Health (NIH) and the Department of Defense (DOD). Both of these government agencies conduct animal research. Click here to go to the U.S. Postal Service’s explanation of the stamp.
If you are concerned about breast cancer, you can donate to one of the many organizations that help people directly or that conduct research without torturing animals.
Click here for information on charities that do/don’t test on animals.
"
178,Hunting is much less cruel than factory farming.,"Yes, and Jack the Ripper was less cruel than Hitler—that didn’t make him a nice guy. It is true that killing an animal in the wild is less cruel than the months of torture animals endure on factory farms. However, hunting, like farming, disrupts families and causes pain, trauma, and grief to both the victims and the survivors. Why cause any suffering when we can avoid it?
"
179,"Most animals used for food, fur, or experiments are bred for that purpose.","
Unfortunately, somebody forgot to tell the animals that! They insist on behaving as if their lives were important to them, and nobody else. Breeding animals for certain purposes may help us feel better about mistreating them, but it doesn’t change the animals’ biological ability to feel pain and fear.
"
180,What’s wrong with drinking milk? Don’t dairy cows need to be milked?,"In order for a cow to produce milk, she must have a calf. “Dairy” cows are impregnated every year in order to keep up a steady supply of milk. In the natural order of things, the cow’s calf would drink her milk (eliminating her need to milked by humans). But dairy cows’ babies are taken away within a day or two of birth so that humans can have the milk that nature intended for their calves. Female dairy calves may be slaughtered immediately or raised to be future dairy cows. Male dairy calves are confined for 16 weeks to tiny veal crates too small for them even to turn around in so that their flesh, sold as veal, will be atrophied and nonmuscular. Then these weak, 4-month-old youngsters are sent to the slaughterhouse.
The current high demand for dairy products requires that cows be pushed far beyond their natural physical limits, genetically engineered and fed growth hormones in order to produce huge quantities of milk. Even the few farmers who choose not to raise animals intensively must both eliminate the calf (who would otherwise drink the milk) and send the mother to an early death when her milk production wanes. 
"
181,My friend has chickens and they’re treated very well. Is it ok to eat their eggs?,"If you have a close friend or family member who keeps rescued chickens as companions and doesn’t breed or sell them or their eggs, and whose home you have visited personally to ensure the birds’ welfare, then you are not hurting the chickens by eating the eggs that the birds lay naturally. However, it would greatly help other chickens if the eggs were given to people who would otherwise consume eggs from factory-farmed birds.
Of course, the healthiest choice is to avoid all eggs—and it’s easy, too! Click here for information on egg replacers.
"
182,Do vegans have an office in Canada?,"Right now, we are unable to open an office in Canada, but we are quite active there and have a dedicated activist network. We frequently work with Canadian groups and organize numerous vegetarian, fur, circus, and other demonstrations in Canada, just as we do in the U.S
"
183,What should I do if animals are being abused in my local pet store?,"There are few federal laws that regulate the sale of animals in pet stores, but stores must adhere to state and local laws. You can obtain a copy of local laws by doing an Internet search (these laws can be found at www.animal-law.org, while codes for particular cities are available at www.municode.com, and all should be available at your local library) to help guide you in identifying possible violations at a pet store in your area.
For help in knowing what to look for and where to report possible violations, please visit “Pet Shops: No Bargain for Animals.”
"
184,Is it OK for vegetarians to eat shrimp?,"There are certain creatures—like scallops, oysters, and shrimp—that we just don’t know a whole lot about. We aren’t sure how much pain and suffering they are capable of feeling. Here at PETA, we urge people to “err on the side of compassion.” Since we don’t know for sure that these creatures can’t suffer, we opt to assume they do and act accordingly.
An equally pressing reason to avoid sea “food” of all kinds is the issue of bycatch. When fishers seek a certain quarry, they often injure and kill other sea creatures in the process. In the case of shrimp, sea turtles are often caught and killed in the shrimp nets. This is a huge contributor to the decline in the sea turtle population.
Another reason to avoid eating sea creatures of any kind is the fact that fishing has had a devastating effect on the world’s oceans. This means that food is scarce not only for humans, but also for the other animals, such as seals, dolphins, and sea birds, who survive on what they catch in the sea. When we catch huge quantities of sea creatures, we reduce the food source for these animals, who, unlike most humans, truly must consume fish and other sea creatures in order to survive.
Click here for more information on fishing.
The good news is that delicious vegetarian faux “shrimp” and other seafood “taste-alikes” are available. For more information on these products, click here for tasty faux fish recipes.
"
185,Why do vegans give fur coats to the homeless?,"Donating unwanted furs that have been marked with red paint to homeless people not only helps needy people keep warm, it also allows us to counteract reports of a “fur comeback” by showcasing that we are receiving more donations of fur than ever before from people appalled at the cruelty involved in fur ranching and trapping. In media interviews resulting from fur giveaways, we are able to point out that, even after using hundreds of furs in educational displays, dumping them at museums and outside furriers’ stores, painting them for floats, dragging them through the streets, burying and burning them, and even donating them to wildlife rehabilitators for use as animal bedding, we still have plenty of coats left over.
Fur giveaways also counteract furriers’ efforts to portray fur as “upscale,” “chic,” or a status symbol; rather, the overwhelming influx of fur into our office means that fur has hit rock bottom.
"
