title,paragraphs
Preventing Animal Slaughter,"If witnessing animal abuse and slaughter troubles you, only a vegan diet can eliminate every last bit of it. It may seem counter-intuitive, but the milk and egg industries are as tied to animal slaughter as the meat industry. In fact, the only difference between these industries is that meat comes from animals who have been killed, whereas milk and eggs come from animals who will be killed, guaranteed. It’s obvious that meat requires killing, but why are nearly all dairy cows and layer hens also sent to slaughter? It’s because, as cows and hens age, their production of milk and eggs sharply diminishes. At roughly a quarter of their natural lifespan, yields have so dramatically declined that these animals are no longer profitable. They’re sent to slaughter and replaced with younger, more productive ones.

Still more slaughter arises from the fact that dairies impregnate their cows annually in order to maximize milk production. This means that millions of baby calves are born each year, entirely as a byproduct of milk production. Many of these calves, and the vast majority of the males, are slaughtered when they are only days or weeks old. Slaughter is invariably gory and disturbing to witness. Animals are stunned as they step onto the kill floor. The methods used for stunning are as troubling to watch as the slaughter itself. The most common method for stunning cattle and pigs involves a “captive bolt” pistol. These pistols ram a rod through the animal’s forehead, causing a massive brain injury. Yet the pistols are designed not to kill the animal outright, in order for the animals’ heart to keep beating to pump blood from the body after the throat is slit.

There are other stunning methods as well, each flawed and troubling in their own way. Electric shocks commonly stun chickens and pigs prior to slaughter. These shocks are doubtless painful. And it’s almost impossible to calibrate these devices so that every animal will be rendered unconscious yet not outright killed. Some pigs are stunned with carbon dioxide, which inflicts severe distress and is profoundly disturbing to watch. Kosher and halal slaughterhouses don’t use any sort of stunning, since the animals must bleed to death while still conscious. This opens the door to all sorts of deeply disturbing slaughterhouse practices, as one hidden camera after another has revealed."
Selective Breeding,"Even when raised in good environments, farm animals commonly suffer a number of painful health problems. That’s because decades of selective breeding have boosted egg yields, milk yields, and growth rates to staggering extremes. These breeding advances make animal agribusiness more efficient and productive than ever, but the animals pay a terrible price.

When it comes to genetics, no animal is more revved up than chickens, and none suffers more as a result. Chickens raised for meat grow more than four times faster than birds raised in the 1950s.5 This rapid growth puts a severe strain on the birds’ cardiovascular system, and up to 4 percent of birds die from “sudden death syndrome.”6 In their brief lives, many of these chickens also suffer from debilitating leg problems brought on by their rapid growth rates. One large study found that more than 25 percent of chickens had trouble moving, with nearly 4 percent, “almost unable to walk.”7 At farms that raise chickens for meat, it is common to find birds with broken legs. Unable to walk to food or water, they die of thirst or starve to death. No one notices their plight or pauses to provide care—a chicken who is going to die anyway isn’t worth the added labor costs.

Just like every human pregnancy carries risk, complications can arise every time a hen lays an egg. So the more intensive the breeding to increase egg productivity, the greater the chances that something will go wrong. Modern hens frequently suffer a “prolapse” while laying their eggs. Here, the egg becomes stuck to the hen’s internal organs. During laying, reproductive and digestive organs can come out along with the egg. Without prompt veterinary attention, infection will set in and the bird will die. Since the requisite veterinary care costs at least twenty times the value of a replacement hen, none of these afflicted birds get the treatment they need to survive. In typical egg-laying sheds that house tens of thousands of hens, it is unlikely they will be noticed at all. Nearly all hens afflicted with a severe prolapse will suffer a lingering death from blood loss or infection. In many cases, they take their dying breaths trampled by cage-mates while lying pressed against a wire battery cage floor. In the United States alone, millions of hens each year die in this manner as a result of prolapses and other conditions.8

Dairy cows likewise suffer a variety of maladies as a result of selective breeding. Today’s cows may look the same as yesterday’s, but they produce over four times more milk per animal than did cows from 1950.9 There are many health problems attributable to these extreme milk yields, the most common of which is an inflammation of the udders, which is generally accompanied by infection. In cows with infected udders, the number of somatic cells in the milk increases dramatically. Laypeople have a more plainspoken word for “somatic cells.” That word is “pus.”

Thanks to their massive milk yields, udder inflammation and sub-clinical infection are widespread among modern dairy cows. So if you want to ensure your milk contains no pus, you must choose a plant-based variety like soy milk."
Sheep,"Around 1.4 million sheep and goats are killed without being stunned each year in the UK using halal practices. Many people in the UK oppose this form of slaughter, yet purchase halal meat unknowingly, since it is sold in most major outlets, including supermarkets and takeaways, without always being labelled as halal. Every year around 4 million newborn lambs die within a few days of birth, mainly because of malnutrition, disease or exposure to cold weather. Male lambs are castrated using elastration, a technique that involves a thick rubber band being placed around the base of the infant’s scrotum, obstructing the blood supply and causing atrophy. This method causes severe pain to the lambs who are provided no pain relief during the process. Lambs also have their tails docked using the same method."
Speciesism,"A few key concepts reside at the core of animal rights philosophy. Perhaps the most important of these relates to speciesism. This word applies to the attempts to justify exploitation on the basis of an animal’s species. Such justifications inevitably ignore facts of far greater relevance. The question of whether rights are unjustly violated should start by evaluating each individual animal’s ability (or lack thereof) to think, feel, and suffer. Speciesism is fundamentally irrational, and yet once you start looking for it you can see it everywhere. Perhaps the most obvious example relates to the fact that, by all accounts, pigs are more intelligent than dogs. Yet the pork industry’s standard farming practices would yield a stream of felony cruelty convictions if it raised dogs in the same manner. It’s readily apparent that speciesism is cut from the same cloth as other sorts of rights violations. How does racism, sexism, classism, and so forth relate to speciesism? All of these “isms” violate an individual’s liberties on grounds that are fundamentally arbitrary. The only thing that sets speciesism apart from the others is that it offers an excuse to exploit certain types of animals rather than certain groups of people."
The Cruelty of Factory Farming,"Animal advocates use the term, “factory farming” to refer to the dominant methods of animal farming used in industrialized countries. While there are important differences between how cattle, pigs, and poultry are kept, all of these animals are commonly raised at factory farms. Prior to World War II, most farm animals lived under comparatively good conditions on small, family-owned farms. These animals typically received plenty of space, and they often had access to sunlight and fresh air. So, by any standard they had the makings of a decent life even if this life was destined to be violently cut short. Farmers of that era didn’t necessarily supply the animals with satisfactory living conditions out of the goodness of their hearts, they did it because mortality rates surged to unprofitable levels when their animals’ basic living needs weren’t met.2 The Great Depression and the Dust Bowl era saw massive changes in America’s system of agriculture. Land grant colleges across the United States pioneered an entirely new form of farming both crops and animals. Starting in the 1920s, agriculture colleges at these state colleges began teaching agriculture with the same rigor applied to any other academic discipline. And as a new generation of farmers became exposed to disciplines like chemistry and biology, everything about plant and animal farming changed. The petrochemical-based “Green Revolution” that occurred between the 1930s and 1960s boosted crop yields, arguably raising standards of living worldwide while averting numerous famines. But within animal agriculture, the introduction of factory farming methods simultaneously increased animal suffering to unconscionable extremes."
The Virtues of Plant-Based Diets,"You can view a vegan diet either in terms of what it excludes or what it includes. Vegan diets exclude all foods produced by or derived from animals: meat, fish, dairy products, eggs, and honey. Alternately, another way to look at veganism is that it’s a manner of eating that is based entirely on plants. Many vegans go beyond diet to exclude animal use from every aspect of their lifestyle. They’ll avoid clothing made of wool and won’t buy a leather sofa. When purchasing cosmetics they’ll steer clear of products tested on animals or that contain animal ingredients. While there are excellent reasons to take such steps, to keep this essay short I will focus entirely on food.
Millions of people who have carefully examined animal agribusiness have resolved to go vegan. But even if you decide a vegan diet isn’t for you, you’ll probably come away from reading this essay sold on the benefits of eating what people now call a “plant-based” diet. Why am I so sure? Because the reasons to choose a diet that is at least mostly plant-based are so overwhelming that there really aren’t any credible counterarguments. That may explain why the most prominent food politics writers—including Michael Pollan, Mark Bittman, and Eric Schlosser—advocate a diet based heavily on plants.

Plant-based diets deliver many of the benefits of being vegan while requiring only the slightest effort. Since you haven’t devoted yourself to being 100 percent anything, there’s no reason to worry that you’ll cheat, slip, or screw up. You can follow a plant-based diet and still eat Thanksgiving turkey or a summer barbecue. If being 100 percent vegan is something people commit to, being plant-based is more something they lean into.

Maybe the best thing about the plant-based concept is that it often sets in motion a “virtuous cycle,” where one positive change leads to another and then to another. When you regularly try new vegan foods, your favorites tend to automatically become part of your everyday diet. So as time goes by, your diet will likely move in a vegan direction without any concerted effort on your part. Plenty of current vegans got there by gradually sliding down the plant-based slope. Over time spent eating increasing amounts of plant-based foods, they realized that they were just a few small and easy steps away from becoming totally vegan. There are a number of cute and helpful neologisms attached to the plant-based camp: reducetarian, flexitarian, chegan, plant-strong, and even veganish. If any of these terms resonates with you, just grab ahold of it and start thinking along those lines as you begin trying more vegetarian and vegan meals.

Additionally, there are several other related concepts you may find helpful, including: Meatless Mondays, Mark Bittman’s Vegan Before 6:00 plan, or taking an entirely vegan diet out for a 21-day test drive. All of these possibilities can inspire significant change without imposing requirements for lifelong perfection. Of the many reasons to go plant-based, perhaps the best of all is the lack of a sensible counterargument. In all my years writing about food politics, I’ve never once seen anyone (other than a few paleo diet fanatics) make a serious attempt to argue against eating mostly plants, since the advantages are undeniable. Dozens and dozens of studies show that eating more fruits and vegetables can dramatically decrease rates of cancer, diabetes, and circulatory disease. And of course, plant-based diets also keep farm animals from slaughter, while simultaneously protecting the environment."
Vegan global worldwide statistics,"If the world went vegan, it could save 8 million human lives by 2050, reduce greenhouse gas emissions by two thirds and lead to healthcare-related savings and avoided climate damages of $1.5 trillion. Source. If the UK population was killed at the rate farmed animals are killed around the world, it would end in just 11 hours.Over a billion farmed animals in Britain are killed each year in slaughterhouses. Source
Over 10 million pigs, 15 million sheep, 14 million turkeys, 15 million ducks and geese, 982 million broiler chickens, 50 million 'spent hens', 2.6 million cattle, 4.5 billion fish and 2.6 billion shellfish are killed in the UK each year - over 8 billion animals. Interest in 'veganism' increased seven fold in the five years between 2014 and 2019, according to Google trends. It now gets almost four times more interest than vegetarian and gluten free searches 
Dairy cows have been bred to produce up to 10 times more milk than they naturally would. Male calves are of no use to the dairy industry and are less suitable for beef production. This means that every year around 95,000 male dairy calves are shot soon after birth and discarded as a by-product. 
Domesticated cows have an average lifespan of 20 years, but on dairy farms they are killed after 5-6 years on average.
30% of UK dairy cows have mastitis, a bacterial infection of the udder.
Every year on the UK, 2.6 million cattle are slaughtered for human consumption.
Cows can naturally live for around 20 years, but are sent for slaughter at around 10 - 12 months old.
Chickens and ducks
Globally, more than 66 billion chickens are reared annually as a source of food, for both their meat and eggs.
Every year in the UK we slaughter around 950 million birds for food consumption, including chickens, ducks and turkeys.
Over 90% of chicken production in the UK is in intensive windowless sheds which house 20,000-50,000 chickens each. 
51% of eggs produced come from chickens in battery cages.
40 million day-old male chicks are killed in the UK by either being gassed or being thrown into a macerator - this practice occurs in all egg farming systems, including organic and free-range.
Beak trimming is the permanent removal of part of the beak of a bird at a young age. This is standard industry practice in the UK despite being illegal in many European countries due to the pain it inflicts.
A free-range egg farmer can legally house 16,000 birds in one building, meaning that they can house 9 birds per square metre of space. This means that free-range hens live out their entire lives in an overcrowded indoor farming unit.
Around 95% of duck production and 90% of turkey production comes from intensive indoor farming. Every year in the UK, 10 million pigs are slaughtered for human consumption. Source
Pigs have an average lifespan of 15 - 20 years, but reach slaughter rate at 6 months old. Less than 3% of UK pigs spend their entire lives outdoors. Most big slaughterhouses in the Britain and Europe kill pigs in gas chambers
Around half of all antibiotics sold in the UK are used on farmed animals, with 60% of these being used on pigs.
Most pigs are entitled to less than one square metre of space each and the majority of sows (female breeding pigs) are kept in farrowing crates. Farrowing crates were made illegal in several countries across Europe, but are still standard farming practice here in the UK. Fish and other sea animals:
Half of all plastic in the sea comes from fishing. Three quarters of the world's fisheries are either exploited or depleted. We kill between 1 and 2.8 trillion fish every year. This is 143-400x the amount of the entire human population. 308,000 cetaceans are unintentionally drowned each year after becoming entangled in fishing equipment.
Farmed salmon has 10x the amount of cancer-causing organic pollutants than wild salmon.
For every pound of fish caught, up to 5 pounds of unintended marine species are caught and discarded as by-kill.
Sharks kill 12 people per year. People kill 11,414 sharks per hour.
Sheep: Around 1.4 million sheep and goats are killed without being stunned each year in the UK using halal practices. Many people in the UK oppose this form of slaughter, yet purchase halal meat unknowingly, since it is sold in most major outlets, including supermarkets and takeaways, without always being labelled as halal. Every year around 4 million newborn lambs die within a few days of birth, mainly because of malnutrition, disease or exposure to cold weather. Male lambs are castrated using elastration, a technique that involves a thick rubber band being placed around the base of the infant’s scrotum, obstructing the blood supply and causing atrophy. This method causes severe pain to the lambs who are provided no pain relief during the process. Lambs also have their tails docked using the same method.

Veganism in the UK:  In 2018, the UK launched more vegan products than any nation. In 2019, Brighton was found to be the easiest area to be vegan. Waterstones have 9,030 book titles with the word 'vegan' in them available for sale (as of December 2019) compared to 944 in August 2018. Orders of vegan meals grew 388% between 2016 and 2018 and they are now the UK’s fastest growing takeaway choice.
Demand for meat-free food in the UK increased by 987% in 2017 and going vegan was predicted to be the biggest food trend in 2018. The number of vegans in Great Britain quadrupled between 2014 and 2019. In 2019 there were 600,000 vegans, or 1.16% of the population; 276,000 (0.46%) in 2016; and 150,000 (0.25%) in 2014. Ipsos Mori surveys, commissioned by The Vegan Society, 2016 and 2019, and The Food & You surveys, organised by the Food Standards Agency (FSA) and the National Centre for Social Science Research (Natcen).
Vegans and vegetarians look set to make up a quarter of the British population in 2025, and flexitarians just under half of all UK consumers.
Almost half (42%) of UK vegans made the change in 2018, which shows veganism has been growing exponentially.
The sign-ups for the Veganuary campaign - where people eat vegan for the month of January - hit record highs in 2020, with over 400,000 people signing up. In comparison, there were 250,000 participants in 2019, 168,500 in 2018; 59,500 in 2017; 23,000 in 2016; 12,800 in 2015; and 3,300 in 2014.
10% of British children aged eight to 16 are vegan or vegetarian, and 44% try to eat less meat, dairy and eggs.
More than a quarter of all evening meals in the UK are vegan or vegetarian. Mintel reported nearly a quarter of Brits consuming plant milk in 2019, up from just 19% in 2018. 1 in 3 Brits have stopped or reduced their meat consumption. Those who eat meat spend a whopping £645 extra a year on food, compared to those on a meat-free diet. Brighton was the most popular British city for veganism in 2019, according to Google Trends, followed by the Bristol, Norwich and Cardiff.
Over half (56%) of Brits adopt vegan buying behaviours such as buying vegan products and checking if their toiletries are cruelty-free. 50% of Brits said they know someone who is vegan. 1 in 5 Brits (19%) would consider going vegan.
Business / Food sales: The UK plant-based market was worth £443m in 2018. The UK market for meat-free foods was worth £572m in 2017. Meat substitute sales grew by 451% in the European market in the four years to February 2018. The UK meat-free market is estimated to grow from £559m in 2016 to £658m in 2021. Source: Mintel ‘meat free food’ report, UK, May 2017 In 2018, one in six products launched in the UK carried a vegan claim. In 2019 this figure rose to nearly one in four. The global market for vegan and vegetarian products was worth $51 billion in 2016.
The line of 20 Wicked Kitchen vegan meals was rolled out at 600 Tesco stores at the start of 2018 and sold more than 2.5 million units in the first 20-week period ending in May 2018 — more than double the company’s sales projections.
In June 2018, Waitrose launched dedicated vegan sections in more than 130 stores after increasing its vegan and vegetarian product range by 60%. Online grocer Ocado enjoyed a staggering 1,678% increase in sales within its 'vegan' category between 2015 and 2016. Dairy milk sales fell by around £240m between 2014 and 2016 in the UK.
Demand for vegan and vegetarian ready meals and snacks at Tesco grew by 40% from 2016 to 2017.
Fresh meat sales fell by £328m throughout 2016, a 7.3% decline (beef sales down £72m, pork lost £62m, sausages £51m, poultry £49m and lamb £21m). Cheese went down by £70m (2.8%). Free-from foods rose by £123m, with Alpro adding another £23m.
Sainsbury’s sales of its vegan cheeses surpassed the company’s predictions by 300%. Sources: [1], [2]
Sainsbury’s saw a 24% increase in customers searching for vegan products online and a 65% increase in sales of plant-based products year-on-year. Source
Veggie Pret was turning 70% profits increase within its first two weeks of operation, despite predictions that they would drop by up to 30%. Source
A staggering 92% of plant-based meals consumed in the UK in 2018 were eaten by non-vegans. Source 
There was a 39% increase in searches for ‘vegan fashion’ and ‘vegan clothes’ from 2017 to 2018. Source: Hitwise UK survey
Scotland: Sales of plant milk hit £367 million in the UK in 2017 and a farming expert called this an opportunity for Scotland to use its wonderful oats and pure water to produce oat milk. Source
Scotland: Demand for vegan haggis at Tesco in Scotland skyrocketed by 120% in 2018. Source
Scotland: There were over 100 vegan businesses in Scotland in 2019, up from just a handful in 2012-13. Source
Innovation
It is predicted that by 2040 only 40% of the global population will be consuming meat, with 35% consuming clean (lab) meat and 25% vegan meat replacements. Source
Between 2012 and 2016 there was a 185% increase in the number of vegan products launched in the UK. Source
Adverts for vegan job roles increased by 123% in 2018. Source
Dairy giant Danone invested $60 million in dairy-free products. Source
America’s largest meat processor Tyson Foods invested in vegan brand Beyond Meat. Source
Ben & Jerry’s, Breyers and HäagenDazs all offer vegan ice cream. Source
McDonald’s launched a vegan Happy Meal in the UK in January 2019, including a breaded red pesto goujon wrap. They also have vegan burgers in the US, Finland and Sweden. Source
KFC has launched vegan nuggets in the US and trial ran a vegan burger in the UK between June - July 2019. In January 2020, this was made a permanent fixture on its menu. Sources: [1], [2], [3]
Europe: In November 2019, Burger King launched their plant-based Rebel Whopper across 2,500 outlets in 25 countries - making it one of their largest product launches to date. Source
USA: Burger company Bareburger announced that it will open a vegan chain and remove some of its meat options from the menu. Source
USA: Elmhurst Dairy, a century-old company whose dairy milk could be found everywhere from Manhattan Starbucks cafés to 1,400 different public schools citywide, reinvented itself as a plant milk start-up in 2016 because – in its CEO’s words – “milk has sort of gone out of style” and he said he had worked to keep the plant open “long past the years that it was economically viable”. Source
Environment and sustainability
A 2018 Oxford University study – which is the most comprehensive analysis to date of the damage farming does to the planet – found that ‘avoiding meat and dairy is the single biggest way to reduce your impact on Earth’ as animal farming provides just 18% of calories but takes up 83% of our farmland. Sources: [1], [2]
A 2019 Harvard University report proved that if everyone in the UK went vegan, we would still have enough food for everyone to eat. If the UK returned meat, dairy and egg farms back to forest and grew health-promoting crops for human consumption, we would be able to sustain human calorie and protein needs in place of feed currently grown for animals. Source
A 2019 Imperial College study found that your diet is where you can make the biggest difference, followed by travel and heating. It is unrealistic to think that people could travel less or avoid heating their homes – many of them can’t, but everyone can indeed eat a vegan diet. Source
Animal agriculture contributes an estimated 18% to total greenhouse gas emissions from the five major sectors for greenhouse gas reporting. For the agriculture sector alone, farmed animals constitute nearly 80% of all emissions. Source [p. 112]
According to the Higg Materials Sustainability Index, leather from cows is nearly three times as harmful to the environment as vegan leather, and wool is twice as harmful as polyester. Source 
The sustainability argument is often misrepresented as people think that just because something is made of plastic, it automatically must be the least environmentally friendly option; in fact, when you consider how much it takes to stop a piece of cow skin from decomposing, animal leather is right at the bottom of the sustainable materials list. Many people forget to factor in how much water and food the cows consume, how much land they take up, how much waste and methane they produce, and the amount of chemicals used in the tannery industry that harm its workers.
Humans around the world drink 5.2 billion gallons of water and eat 21 billion pounds of food each day. Cows around the world drink 45 billion gallons of water and eat 135 billion pounds of food each day - nine times as much water and seven times as much food as all humans. Source
If every family in the UK removed the meat from just one meal a week, it would have the same environmental impact as taking 16 million cars off the road. Source
A 2018 Greenpeace report found that “global meat and dairy production and consumption must be cut in half by 2050 to avoid dangerous climate change and keep the Paris Agreement on track. If left unchecked, agriculture is projected to produce 52% of global greenhouse gas emissions in the coming decades, 70% of which will come from meat and dairy.” Source
Animal agriculture is responsible for up to 91% of Amazon rainforest destruction. Sources: [1], [2], [3]
Even the most environmentally damaging plant milk type (almond) is better for the planet than dairy milk. Source


Avocados can be accused of having a high environmental impact as they have a total water footprint of 1,981 mᶾ/ton. When looking at animal products, the largest water footprint is from cow's meat (at 15,400 mᶾ/ton), followed by sheep (10,400 mᶾ/ton), pig (6,000 mᶾ/ton), chicken (4,300 mᶾ/ton) and eggs (3,300 mᶾ/ton). So avocados' water footprint is still less than the lowest animal product. Sources: [1], [2]
A study published in Environmental Research Letters found that eating a plant-based diet has three times more positive environmental impact than washing your clothes in cold water; four times more than hang-drying clothes or recycling; and eight times more than upgrading light bulbs. Source
We can always be more sustainable in our food choices, but an off-the-shelf vegan diet is the most sustainable of all diets. Source
Average annual amount of CO2 emitted by typical UK diets:
Meat-eater - 2,055 kg
Vegetarian - 1,391 kg
Vegan - 1,055 kg Source
82% of starving children live in countries where food is fed to animals who are then eaten by Western countries. Sources: [1], [2], [3]
Clean meat (grown in a lab) could be produced with up to 96% lower greenhouse gas emissions, use 45% less energy, 99% lower land use, and 96% lower water use than conventional meat. Source
A 2019 United Nations report urged people to eat less meat and dairy to help combat climate change. Source
Henning Steinfeld, Chief of FAO’s Livestock Information and Policy Branch and senior author of United Nations’ Livestock's Long Shadow report, said in 2006: “Livestock are one of the most significant contributors to today’s most serious environmental problems. Urgent action is required to remedy the situation.” Source 
John Hopkins University found that, on average, a vegan diet is the most environmentally friendly of all diets and would cut emissions by 70%, while a Western style diet adds +135% to the emissions (see below). Source 

For more good statistics on the environment, please see this link.

Beauty and household products
Vegan facial skincare launches almost tripled between 2013 and 2018, rising from 13% of all launches in 2014 to 28% in 2018. Sources: [1], [2]
19% people check if their toiletries are tested on animals. Source 
Sales of vegan cleaning products at Tesco increased by 80% in 2019. Source
Superdrug's own brand vegan cosmetics saw a 750% sale increase in January 2019. Source
Boots.com reported a 56% increase in vegan-related searches in 2019. Source
'Not tested on animals' is the most important packaging claim for 57% people. Source
There was a 20% increase in searches for ‘vegan make-up’ from 2017 to 2018. Source: Hitwise UK survey 
The sale of vegan prestige beauty products in the UK reported an increase of 38% in the 12-month period between February 2017 to end of January 2018. Source
76% people think that more effort should be made to find alternatives to using animals and 44% cite the word 'secretive' as the first thing on their mind associated with animal experimentation. Source
Beauty brands with cruelty-free certification account for 20% of the women's face skincare and grew by 18% compared to the overall category which grew by only 7% in 2018. Source
There was a 50% increase in the number of beauty and personal care products launched in the UK in 2016. Out of all beauty products with a vegan claim launched in the UK in 2016, 31% were skincare products, 29% colour cosmetics, 23% hair products, 13% soap and bath products, 2% fragrances and 2% deodorants. Source
A Market Research Future report predicts a 6% growth in cruelty-free cosmetics in the years between 2017-2023. Source
The UK is one of the biggest reported users of animals in Europe, with 3.52 million animal experiments reported in 2018. Sources: [1], [2]
Lots of facts and figures on animal testing can be found here. Please contact Cruelty Free International’s (formerly BUAV) press office with specific questions as this is their area of expertise.

Health
A global move to a vegan diet would avert 8.1 million premature deaths per year. Sources: [1], [2]
A 2019 study, totaling over 300,000 participants, by Harvard scientists discovered that eating a vegan diet can cut your risk of developing type 2 diabetes by almost a quarter (23%). Sources: [1], [2]
A 2019 study of more than 12,000 people found those who ate mostly plant-based foods were 32% less likely to die from heart disease. Sources: [1], [2]
Eating a vegan diet may help people who are overweight reduce body fat and promote weight loss without restricting calories. Sources: [1], [2]
We could feed twice as many humans with today’s global harvest (in 2019) if we did not feed farmed animals but rather consumed the yield ourselves. Source
World Health Organization's first step to healthy eating is: ""Eat a nutritious diet based on a variety of foods originating mainly from plants, rather than animals"". Source
The World Health Organisation report in November 2015 ranked processed meat ranked as a group 1 carcinogen (the same category as cigarettes, alcohol and asbestos). Eating just 50g per day (two rashers of bacon) increases the risk of colorectal cancer by 18%. It also classified red meat as a group 2A carcinogen. Source
Vegan diets have been linked to a 35% lower risk of prostate cancer. Source
High blood pressure, a major risk factor for heart disease and stroke, is less common among vegans. Source
Body mass index and cholesterol levels are lower among vegans. Source
Those who eat seven or more portions of fruit and vegetables per day have a 33% reduced risk of premature death, compared with people who eat less than one portion. Source
Vegan Society statistics
The first ever newsletter by The Vegan Society records that there were just 25 members.
The Vegan Trademark scheme began in 1990. Today, some 44,000 products spanning across 1,300 companies are currently registered with our Vegan Trademark. Out of these, over 11,000 are cosmetics and toiletries, produced by around 400 brands.
In 2017, a total of 6,318 products were registered with the Vegan Trademark, and in 2018 we registered 9,590 - a whopping 65% increase in the number of successful product registrations. 
Around 75% of trademarked products come from companies based outside of the UK, with Germany having the most Trademark holders, followed by Italy and then Spain. The Vegan Trademark is present in 53 countries around the world.
Products made by companies such as Flora, Alpro, Asda, Aldi, LUSH, Costa Coffee, Nestle and Caffe Nero carry the Vegan Trademark.
Worldwide statistics
Worldwide: The UK was the most popular country for veganism in 2019, according to Google Trends, followed by the Australia and New Zealand. Source 
Worldwide: The vegan leather market is set to take over the animal leather market by 2025. Source
USA: The number of vegans in America grew by 600% from nearly 4 million in 2014 to 19.6 million in 2017. Source
USA: 2 in 3 Americans have stopped or reduced their meat consumption. Source
USA: Consumption of plant milk increased by 61% while consumption of cow's milk decreased by 22%. Sources: [1], [2]
USA: Plant milks make up 13% of the entire milk category. Their sale gew by 6% in 2019, while cow's milk sales decline by 3%. Source
USA: Agriculture is responsible for 80-90% of all US water consumption. Source
USA: 80% of all antibiotics sold in the US are for farmed animals - not to treat illness but to promote growth and preventatively due to the stressful conditions the animals are raised in. Sources: [1], [2], [3]
USA: 400 million fewer animals were killed in 2014 compared to 2007 because people were eating less animal products. Source
USA: There were as many people searching for vegan Thanksgiving recipes as there were people searching for turkey Thanksgiving recipes in November 2018. Source
USA: Egg company Cal-Maine Foods reported a $74m loss due to vegan egg alternatives. Source
USA: A farm with 2,500 dairy cows produces the same amount of waste as a city of 411,000 people. Source
USA: 72% Americans oppose testing cosmetics products on animals. Source
Europe: There were 11,655 vegan food and drink businesses launched in Europe in 2019, an increase of 93% from 2016 which was 6,041. Source
Europe: Europe was the largest market for meat substitutes in 2016, accounting for 39% of global sales. Source
Germany: Germany is one of the global leaders when it comes to vegan product development and launches, accounting for 15% of global vegan introductions between July 2017 and June 2018. Source
Germany: One in ten consumers buy meat alternatives, rising to one in five for Germans in the 16-24 age group. In 2005, only 1% of Germans considered themselves vegetarians; this rose to 7% in 2018. Source
Iceland: Iceland topped the worldwide rankings for popularity of veganism between June 2018 and June 2019. Source
Italy: Italy had the fastest growing meat-free population over 2011-2016 with a growth of 94.4%. Source
Italy: Around half of Italian consumers say they are lowering their red meat intake, while 24% say they are increasing the amount of vegetarian processed foods in their diet. Source
Ireland: The Just Eat website saw a 94% increase in vegan food orders in Ireland in 2017. Source
Poland: Around 60% of Poles said they planned to cut back on their meat consumption in 2018. Source
Sweden: Accoring to the Swedish Board of Agriculture, Sweden saw its largest decrease in meat consumption for 30 years with a 2.6% drop in people eating meat in 2017. Source
China: The Chinese health ministry released dietary guidelines in 2016 that encourage their population of more than 1.3 billion people to reduce their meat consumption by 50%. Sources: [1], [2]
China: Chinese consumers are twice as likely to purchase clean meat and plant-based meats. Source
Australia: In 2019, Australia's packaged vegan food market was worth almost $200 million and is set to reach $215 million by 2020. Source
Southeast Asia: Between 2012 and 2016, new vegetarian and vegan product launches increased by 140% and 440% respectively in Southeast Asia alone. Source
South Africa: South Africa is the only African country with a sizable vegan following and the 23rd most popular destination for vegans in the world. Source"
We’ve eaten meat since we were cavemen,"We’ve lied, stolen, killed one another and made war since we were cavemen too. That doesn’t make those things right too."
What about medicine?,Medicines prescribed by doctors are normally first tested on non-human animals. This is unavoidable under current laws. What you can do is ask your doctor for medicines that possibly don't contain animal ingredients. Medicines usually come with an information leaflet listing the ingredients. Ask your pharmacist for advice too.
What about products that have items such as eggs and dairy listed as ‘May contain traces of…’?,"This is something that you will have to make your own decision on. ‘May contain traces of…’ generally means that the product in question is made on the same production line, or in the same factory as others which do contain those ingredients. The wording is generally there as a disclaimer in case someone has an allergy to that particular ingredient (you’ll usually find that it is only allergens that are listed, eg. eggs, dairy, seafood and peanuts).

The chance of the product containing that item is generally very small, and if it did, the amount would most likely be a minute quantity."
What can I use instead of cow’s milk?,"There is a wide variety of non-dairy milks available. Your local supermarket is likely to stock the more common items such as soy, almond and rice milks, and many health food shops, organic stores and Asian supermarkets offer less common ones such as nut, oat, quinoa and hemp milks. These products can be found both on the shelf and in the refrigerated sections."
What difference will one person giving up meat make?,"A huge difference. The average British meat eater consumes, in the course of their lifetime, 5 cattle, 20 pigs, 29 sheep and lambs, 780 chickens, 46 turkeys, 18 ducks, 7 rabbits, 1, geese and half-a-tonne of fish. That is a lot of lives saved. Just as importantly, the best advertisement for veganism is a healthy and happy vegan: if you turn vegan you will be able to influence others to become part of the movement towards a more compassionate and rational world."
